waveform_id,spin_status,theta_f,chifx,chify,chifz,spinf,massf,mass_ratio,delta,mass1,mass2,eccentricity,chi1x_isco,chi1y_isco,chi1z_isco,chi2x_isco,chi2y_isco,chi2z_isco,chi_s_isco,chi_a_isco,kick_velocity,kick_angle
SXS:BBH:0531,precessing,0.17841099215530173,-0.00702606502022,0.14218113527,0.858166673494,0.8698936028688176,0.931349233998,1.7496506167704076,0.272634862116012,0.636362714413,0.363708450312,0.0002,0.15130641531174183,-0.3061828781402829,0.7161238656258003,-0.25114993759927695,0.3057849207070591,0.6908999674816697,0.7069503735500117,0.20441382343866427,0.0034707222359823767,0.061286898492012146
SXS:BBH:0532,precessing,0.0756982601555913,0.0146551769318,0.0254050879468,0.560073022476,0.5608404257985412,0.960152150253,0.9999188639818923,4.056965446297146e-05,0.500002417378,0.500042988875,0.0004086,-0.18992438235026007,0.041315786793305366,-0.04583693076264412,0.19133153431125574,0.20304874266950265,-0.7461122439706734,-0.39598879233054907,0.350153721156367,0.0018137719978842189,2.811173602113921
SXS:BBH:0533,precessing,0.045436341584015966,-0.00253897105339,0.021335299881,0.715487466453,0.7158099999625284,0.951833414905,1.8519794067597415,0.29873266431741613,0.64939499361,0.350649143959,7.57e-05,-0.04610658161133884,0.06153006259124107,0.11149432544417119,0.031838506312043886,-0.03610916791480569,0.7706530626253232,0.34261757115163277,-0.19781624881125118,0.0006766486056829561,2.1053542776818
SXS:BBH:0534,precessing,0.04416762104477743,-0.00274777565001,0.0199091570904,0.670437468458,0.6707386405444707,0.957208932822,1.9841498319968003,0.32979236546519874,0.664917143745,0.335114381496,2.79e-05,0.006128508906687231,0.06994573967149359,0.05823012337781366,0.003389405229517861,-0.027113002802688486,0.472664079003068,0.1971085239130649,-0.11967455040515172,0.0007460207520536802,0.8491319300968082
SXS:BBH:0535,spinning_aligned,2.8210066714771166e-06,-1.67230742374e-08,-2.93579642756e-08,0.625333323862,0.6253333238620009,0.957414837546,1.2499038332944936,0.11107311770235322,0.555562470799,0.444484172302,0.0004965,-6.720060751204871e-08,-6.370205292251675e-08,0.19985315000504678,-3.3346411551998434e-07,1.9916648596165287e-07,-0.7963789081412017,-0.24293557874140984,0.4649870412001531,0.0005972214174992214,1.5708196506982672
SXS:BBH:0536,precessing,0.15611489963266553,0.0302690005626,0.0512264366459,0.650168242749,0.6528852150920693,0.95352524932,1.0883872055668429,0.04232318859799171,0.521170830589,0.478846891918,0.0001866,-0.5277046387543715,0.28370934049147656,-0.3138393215129385,0.18109561911421518,-0.22230234603977145,0.1973125992419587,-0.06908015070765804,-0.25804185159913895,0.004729169844803122,3.0915770742635864
SXS:BBH:0537,precessing,0.20886560847827249,0.0322228076976,0.0546811427116,0.583371454151,0.5868139315169802,0.959296580316,1.0004769852990862,0.00023843578443249179,0.500124844729,0.499886406262,0.0001773,-0.2705347209285843,0.3060179349913823,-0.4559446158929106,0.11542212750637221,0.2285589742689565,-0.16889304264289842,-0.3124530509514145,-0.14360027845361176,0.0008413514298791239,2.7559710446131906
SXS:BBH:0538,precessing,0.39205498490763924,0.0429447017389,0.151774323087,0.554702546108,0.5766928187645984,0.960805276147,1.749716320520222,0.2726522423150847,0.636373904088,0.363701187801,0.0005458,0.7035417533464206,0.19418390718975684,-0.31798372355868004,-0.3342250307672291,-0.08141537208494516,0.7213410071130324,0.059991532621594366,-0.4646742314282485,0.00381886578842919,0.12498488231491492
SXS:BBH:0539,precessing,0.32651517277439407,0.0582561217112,0.0957362110769,0.498090340669,0.5105420504678839,0.964352376081,1.722335443958311,0.2653366783147145,0.632691597128,0.367345164583,0.0007207,0.5806668272237083,-0.14128732283958367,-0.5142990586043953,-0.14495938575664613,0.024393304668021958,0.40498368506011884,-0.17661740159012773,-0.47414406088474237,0.0026140868859422755,2.8512595885098064
SXS:BBH:0540,precessing,0.00864355262694665,0.00198774807933,0.00780726477543,0.832080932612,0.8321199330277795,0.932298737542,1.094997847409073,0.04534508115440686,0.522684231069,0.477338135692,4.24e-05,0.012421464371035376,-0.022700142184556432,0.3613710580990598,-0.003992602210584017,0.034720279495451555,0.6869334094939483,0.5167709081740937,-0.13901345011867794,0.00022480932542395758,1.0118923603487147
SXS:BBH:0541,precessing,0.22449688397801465,0.0175136111441,0.0398511778666,0.647852875494,0.6493136308737915,0.955587692695,1.1903653472909987,0.08691031727946061,0.543478916076,0.456564799465,0.0001997,-0.33423264651466345,-0.16616301407569203,0.15912637319755615,-0.13258223944644928,0.5278577889723461,-0.4493643243535469,-0.11867691578511172,0.29163301256479746,0.003719029185634896,0.06273875724052452
SXS:BBH:0542,precessing,0.23334450662038372,0.0045132131051,0.0610047782957,0.659398172855,0.6622294937798769,0.958797578339,1.80894325909691,0.28798846558295726,0.644001006668,0.356009511868,0.0003544,-0.15299762702277625,0.1999845465243048,0.22695545784025703,-0.26684517140658187,0.3849990251156671,-0.5268657951441145,-0.041409255666533064,0.3337252675658832,0.000727522189616863,0.506854615421411
SXS:BBH:0543,precessing,0.08809463148313469,0.0275892279672,0.0497883834222,0.758194526529,0.7603282111576267,0.942782456393,1.0071782722532008,0.003576300298031313,0.501793811348,0.498217470702,0.0003859,-0.10313954735954678,-0.3441317835084586,0.08572812381810589,0.3209298900671925,0.213718497781207,0.4165632452255942,0.25055410165021064,-0.16451938831734694,0.0051002114024360275,3.0802212720349034
SXS:BBH:0544,precessing,0.000895445268139254,0.000304811407599,0.000713318025837,0.777146403719,0.7771467908612729,0.941114831216,1.07984360516237,0.03838923511565617,0.519204455516,0.480814492982,0.0001142,-0.0007065783317833483,-0.004293066068547819,-0.002203162727861872,0.0025154137129846117,0.0034265292243440266,0.6850762402816647,0.3282444734807615,-0.33053221394058135,0.00047589686922362863,1.620212377669428
SXS:BBH:0545,precessing,0.0013584663798670085,7.25689221657e-05,0.000403551458784,0.584677440103,0.5846775838745877,0.963082539315,1.7870326982050688,0.2823909094112679,0.641229234884,0.358823448238,0.0002192,0.000960340571931068,0.0017035785948062941,-0.00017455402162727527,0.0011927776792390464,0.0024644511781653647,-0.7887803068169557,-0.2831298825698763,0.28290603607934034,0.0003591260254430789,1.5776373175512484
